SECTOR,SUBSECTOR,CATEGORY,SUBCATEGORY1,STATE,GHG,Y2021
Agriculture,Agricultural Soil Management,Direct,Cropland,DC,N2O,0.000105585
Agriculture,Agricultural Soil Management,Direct,Grassland,DC,N2O,0.001215625
Agriculture,Agricultural Soil Management,Indirect,Cropland,FL,N2O,0.165265206
Agriculture,Agricultural Soil Management,Indirect,Grassland,FL,N2O,0.235728828
Agriculture,Agricultural Soil Management,Direct,Cropland,FL,N2O,1.872646874
Agriculture,Agricultural Soil Management,Direct,Grassland,FL,N2O,1.802796194
Agriculture,Agricultural Soil Management,Indirect,Cropland,GA,N2O,0.329009358
Agriculture,Agricultural Soil Management,Indirect,Grassland,GA,N2O,0.117504748
Agriculture,Agricultural Soil Management,Direct,Cropland,GA,N2O,1.389980698
Agriculture,Agricultural Soil Management,Direct,Grassland,GA,N2O,0.60766907
Agriculture,Agricultural Soil Management,Indirect,Cropland,HI,N2O,0.002490224
Agriculture,Agricultural Soil Management,Indirect,Grassland,HI,N2O,0.013004197
Agriculture,Agricultural Soil Management,Direct,Cropland,HI,N2O,0.008751336
Agriculture,Agricultural Soil Management,Direct,Grassland,HI,N2O,0.055392238
Agriculture,Agricultural Soil Management,Indirect,Cropland,ID,N2O,0.332256575
Agriculture,Agricultural Soil Management,Indirect,Grassland,ID,N2O,0.072833718
Agriculture,Agricultural Soil Management,Direct,Cropland,ID,N2O,3.114755094
Agriculture,Agricultural Soil Management,Direct,Grassland,ID,N2O,1.354533751
Agriculture,Agricultural Soil Management,Indirect,Cropland,IL,N2O,1.838335022
Agriculture,Agricultural Soil Management,Indirect,Grassland,IL,N2O,0.086961838
Agriculture,Agricultural Soil Management,Direct,Cropland,IL,N2O,13.70570481
Agriculture,Agricultural Soil Management,Direct,Grassland,IL,N2O,0.796699157
Agriculture,Agricultural Soil Management,Indirect,Cropland,IN,N2O,1.08593039
Agriculture,Agricultural Soil Management,Indirect,Grassland,IN,N2O,0.061071479
Agriculture,Agricultural Soil Management,Direct,Cropland,IN,N2O,7.123378386
Agriculture,Agricultural Soil Management,Direct,Grassland,IN,N2O,0.514256615
Agriculture,Agricultural Soil Management,Indirect,Cropland,IA,N2O,2.219889877
Agriculture,Agricultural Soil Management,Indirect,Grassland,IA,N2O,0.156817075
Agriculture,Agricultural Soil Management,Direct,Cropland,IA,N2O,16.86839182
Agriculture,Agricultural Soil Management,Direct,Grassland,IA,N2O,1.694107093
Agriculture,Agricultural Soil Management,Indirect,Cropland,KS,N2O,1.07474156
Agriculture,Agricultural Soil Management,Indirect,Grassland,KS,N2O,0.305801223
Agriculture,Agricultural Soil Management,Direct,Cropland,KS,N2O,12.38924349
Agriculture,Agricultural Soil Management,Direct,Grassland,KS,N2O,4.057967147
Agriculture,Agricultural Soil Management,Indirect,Cropland,KY,N2O,0.404828141
Agriculture,Agricultural Soil Management,Indirect,Grassland,ME,N2O,0.00713023
Agriculture,Agricultural Soil Management,Direct,Cropland,ME,N2O,0.123905347
Agriculture,Agricultural Soil Management,Direct,Grassland,ME,N2O,0.045939332
Agriculture,Agricultural Soil Management,Indirect,Cropland,MD,N2O,0.090944031
Agriculture,Agricultural Soil Management,Indirect,Grassland,MD,N2O,0.021873573
Agriculture,Agricultural Soil Management,Direct,Cropland,MD,N2O,0.556315844
Agriculture,Agricultural Soil Management,Direct,Grassland,MD,N2O,0.126336035
Agriculture,Agricultural Soil Management,Indirect,Cropland,MA,N2O,0.015497597
Agriculture,Agricultural Soil Management,Indirect,Grassland,MA,N2O,0.009201921
Agriculture,Agricultural Soil Management,Direct,Cropland,MA,N2O,0.08295542
Agriculture,Agricultural Soil Management,Direct,Grassland,MA,N2O,0.038285615
Agriculture,Agricultural Soil Management,Indirect,Cropland,MI,N2O,0.601114378
